UNIQUE_ID,ROW,COL,YEAR,LOCATION,PLOT,REP,TREATMENT
8f9d84d7-0984-59ab-8401-a7a32fcb0036,1,1,2025,Grande teste,1,1,OLIVIA
663e64d1-a715-59c2-bb25-bfa13fb621f0,1,2,2025,Grande teste,2,1,SOREX
c9370d17-015a-5386-86cb-802e805d4fab,1,3,2025,Grande teste,3,1,NEPEM
62c291cc-c513-5f6c-b091-db8e5594faa2,2,3,2025,Grande teste,4,1,HERMES
2b33969d-cc55-5f64-881a-f8eeff887d9e,2,2,2025,Grande teste,5,1,T1
c4da380d-c7e5-5c89-8a6c-fce395aa7fb4,2,1,2025,Grande teste,6,1,T2
28c80b27-3ac8-5860-b243-148f05df58ff,3,1,2025,Grande teste,7,2,T2
fd50516d-d2ba-5ed6-a26b-5f4547deb900,3,2,2025,Grande teste,8,2,HERMES
a10c0a4a-26c4-5980-905a-845d5ceb7a7f,3,3,2025,Grande teste,9,2,NEPEM
70b73ee8-153a-5d23-a86c-84857ba88460,4,3,2025,Grande teste,10,2,T1
481d6980-a70b-5eae-b993-638d6e5cb5b2,4,2,2025,Grande teste,11,2,SOREX
928eda65-b730-561d-9275-5654cc890e93,4,1,2025,Grande teste,12,2,OLIVIA
a44953bf-5d8c-535c-be4e-8f3a576713dd,5,1,2025,Grande teste,13,3,T2
bf6d281d-ae39-589d-83a7-26391f6217c0,5,2,2025,Grande teste,14,3,HERMES
545d4af9-e0c9-5aa5-9956-321606a490bc,5,3,2025,Grande teste,15,3,SOREX
17c4155d-8c8d-5bbe-b1e9-b04e90edf4e2,6,3,2025,Grande teste,16,3,NEPEM
dcf95dd3-a2b0-591b-b205-4b97e98de8cc,6,2,2025,Grande teste,17,3,OLIVIA
0225b1a9-a7cf-5265-93ab-14c8fa9d3c8e,6,1,2025,Grande teste,18,3,T1
